name,market_price
A2A,"2,252"
AMPLIFON,"14,750"
AZIMUT,"32,400"
BANCA MEDIOLANUM,"17,020"
BANCA MONTE PASCHI SIENA,"7,250"
BANCO BPM,"12,595"
BCA POP SONDRIO,"13,510"
BPER BANCA,"9,618"
BRUNELLO CUCINELLI,"89,800"
BUZZI,"49,900"
CAMPARI,"5,464"
DIASORIN,"74,640"
ENEL,"8,320"
ENI,"14,944"
FERRARI,"330,500"
FINECOBANK,"18,295"
GENERALI,"33,120"
HERA,"3,886"
INTERPUMP GROUP,"39,640"
INTESA SANPAOLO,"5,461"
INWIT,"9,820"
ITALGAS,"8,280"
IVECO GROUP,"18,150"
LEONARDO,"53,040"
LOTTOMATICA GROUP,"22,120"
MEDIOBANCA,"16,175"
MONCLER,"49,570"
NEXI,"4,871"
POSTE ITALIANE,"20,420"
PRYSMIAN,"88,080"
RECORDATI ORD,"52,100"
SAIPEM,"2,437"
SNAM,"5,140"
STELLANTIS,"8,764"
STMICROELECTRONICS,"24,365"
TELECOM ITALIA,"0,485"
TENARIS,"14,665"
TERNA,"8,842"
UNICREDIT,"62,420"
UNIPOL,"18,880"
